epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
114,54360.1,1.28061,0.7588,1.00005,0.63478,0.38818,0.44169,0.25201,1.40893,0.86073,1.0261,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,54836.2,1.28271,0.76121,1.00224,0.63223,0.38959,0.44102,0.25208,1.4091,0.86089,1.02607,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,55311.8,1.27774,0.75694,1.00103,0.63209,0.38958,0.44136,0.25192,1.40918,0.86061,1.02613,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,55787.1,1.2754,0.75437,0.99921,0.63252,0.39059,0.44155,0.25253,1.40894,0.86089,1.02607,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,56262.5,1.26963,0.75032,0.99735,0.63459,0.38927,0.44138,0.2525,1.40912,0.86105,1.02611,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,56737.6,1.27393,0.75245,1.00045,0.63806,0.39154,0.44255,0.25284,1.40917,0.86118,1.0262,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,57213,1.27408,0.75157,1.00001,0.63517,0.38955,0.4412,0.25269,1.40911,0.86136,1.02617,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,57688.5,1.26893,0.74565,0.99553,0.63743,0.38933,0.44161,0.2523,1.40946,0.8621,1.0263,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,58164.2,1.26568,0.74599,0.99644,0.62794,0.39065,0.44159,0.25206,1.41005,0.86224,1.02638,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,58639.3,1.2646,0.74452,0.99455,0.6276,0.3922,0.44225,0.25272,1.4101,0.86209,1.02634,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,59114.6,1.26381,0.74504,0.9935,0.62502,0.3937,0.44193,0.25234,1.4105,0.86187,1.02663,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,59590.4,1.26095,0.74087,0.99765,0.62387,0.39484,0.44216,0.25278,1.41058,0.86208,1.02662,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,60066.1,1.25826,0.73885,0.99409,0.62042,0.39599,0.44205,0.25254,1.41062,0.86232,1.02678,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,60541.3,1.25787,0.73912,0.99486,0.61725,0.39649,0.4419,0.25292,1.41106,0.86249,1.02702,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
